#mass ratio in the WTHERM simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_mean,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean mass ratio in the bin,"1sigma error of mass ratio, lower end","1sigma error of mass ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.27989,7.6,8.6,1.09117e+08,730216,728901,0.565938,0.00161818,0.0016126
5.27989,7.7,8.7,1.34119e+08,985836,996697,0.568714,0.00169216,0.00169422
5.27989,7.8,8.8,1.67648e+08,1.36677e+06,1.38152e+06,0.572461,0.00180344,0.00180252
5.27989,7.9,8.9,2.10884e+08,1.91001e+06,1.92363e+06,0.575611,0.00197465,0.00194779
5.27989,8,9,2.64208e+08,2.64553e+06,2.70452e+06,0.578534,0.00214146,0.00214967
5.27989,8.1,9.1,3.31077e+08,3.67746e+06,3.71001e+06,0.582274,0.00238714,0.00243073
5.27989,8.2,9.2,4.10737e+08,5.06824e+06,5.11292e+06,0.585274,0.00265844,0.0026573
5.27989,8.3,9.3,5.1779e+08,7.15021e+06,7.24982e+06,0.589656,0.00297403,0.00300847
5.27989,8.4,9.4,6.45986e+08,9.91296e+06,1.0014e+07,0.594581,0.00336327,0.0033306
5.27989,8.5,9.5,8.03984e+08,1.37971e+07,1.39022e+07,0.600645,0.00371105,0.00373579
5.27989,8.6,9.6,1.00648e+09,1.93668e+07,1.99384e+07,0.607963,0.00416,0.0041607
5.27989,8.7,9.7,1.26081e+09,2.75331e+07,2.82278e+07,0.612835,0.00458105,0.00457445
5.27989,8.8,9.8,1.56992e+09,3.82001e+07,3.905e+07,0.613189,0.00508186,0.00508552
5.27989,8.9,9.9,1.94799e+09,5.2637e+07,5.38356e+07,0.612589,0.00555744,0.00562863
5.27989,9,10,2.44735e+09,7.46855e+07,7.71852e+07,0.614716,0.00637598,0.00632773
5.27989,9.1,10.1,3.07276e+09,1.07516e+08,1.10113e+08,0.618586,0.00730403,0.00727955
5.27989,9.2,10.2,3.73859e+09,1.44208e+08,1.49358e+08,0.624741,0.00818604,0.00818861
5.27989,9.3,10.3,4.57763e+09,1.95024e+08,2.04154e+08,0.625154,0.00942937,0.00940328
5.27989,9.4,10.4,5.76e+09,2.94204e+08,3.14663e+08,0.626537,0.0106924,0.0106004
5.27989,9.5,10.5,6.95793e+09,3.93948e+08,4.168e+08,0.62351,0.0122857,0.0122875
