#baryon fraction in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,fb_mean,fb_errl,fb_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean baryon fraction in the bin,"1sigma error of baryon fraction, lower end","1sigma error of baryon fraction, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.27989,8.1,9.1,3.31381e+08,3.7157e+06,3.76965e+06,0.766445,0.00148307,0.00148467
5.27989,8.2,9.2,4.11308e+08,5.04566e+06,5.10932e+06,0.790735,0.00146777,0.00146888
5.27989,8.3,9.3,5.1817e+08,7.07442e+06,7.25748e+06,0.811903,0.001488,0.00147575
5.27989,8.4,9.4,6.45648e+08,9.87145e+06,1.00012e+07,0.828868,0.00149663,0.0014821
5.27989,8.5,9.5,8.03908e+08,1.36571e+07,1.38961e+07,0.842829,0.00154343,0.00152974
5.27989,8.6,9.6,1.00578e+09,1.93672e+07,1.95427e+07,0.855698,0.00151902,0.00151908
5.27989,8.7,9.7,1.25936e+09,2.72626e+07,2.79241e+07,0.865565,0.00152771,0.00152126
5.27989,8.8,9.8,1.5679e+09,3.81826e+07,3.86685e+07,0.873007,0.0015978,0.00159578
5.27989,8.9,9.9,1.94343e+09,5.22195e+07,5.41564e+07,0.879593,0.00171751,0.00170412
5.27989,9,10,2.44148e+09,7.47345e+07,7.69731e+07,0.88462,0.0018509,0.00183844
5.27989,9.1,10.1,3.06694e+09,1.06958e+08,1.10034e+08,0.887687,0.00197676,0.00197126
5.27989,9.2,10.2,3.73675e+09,1.45108e+08,1.52481e+08,0.889814,0.00212008,0.00213547
5.27989,9.3,10.3,4.57653e+09,1.95645e+08,2.03827e+08,0.89189,0.00239307,0.00240345
5.27989,9.4,10.4,5.753e+09,2.94209e+08,3.11068e+08,0.892872,0.00260817,0.00261685
5.27989,9.5,10.5,6.96322e+09,3.96216e+08,4.19859e+08,0.892898,0.00281133,0.00285524
